"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.40.49.94","10.40.26.121","TCP","171","55199  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=509 Len=117 [TCP segment of a reassembled PDU]"
"2","0.005599","10.40.49.94","10.40.9.43","TCP","164","57915  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=511 Len=110 [TCP segment of a reassembled PDU]"
"3","0.013895","10.40.9.43","10.40.49.94","TCP","164","8009  >  57915 [PSH, ACK] Seq=1 Ack=111 Win=279 Len=110 [TCP segment of a reassembled PDU]"
"4","0.024488","10.40.26.121","10.40.49.94","TCP","171","8009  >  55199 [PSH, ACK] Seq=1 Ack=118 Win=396 Len=117 [TCP segment of a reassembled PDU]"
"5","0.042736","10.40.49.94","10.40.23.213","TCP","164","55181  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=509 Len=110 [TCP segment of a reassembled PDU]"
"6","0.050690","10.40.23.213","10.40.49.94","TCP","164","8009  >  55181 [PSH, ACK] Seq=1 Ack=111 Win=396 Len=110 [TCP segment of a reassembled PDU]"
"7","0.055262","10.40.49.94","10.40.9.43","TCP","54","57915  >  8009 [ACK] Seq=111 Ack=111 Win=511 Len=0"
"8","0.068817","10.40.49.94","10.40.26.121","TCP","54","55199  >  8009 [ACK] Seq=118 Ack=118 Win=508 Len=0"
"9","0.070359","10.40.49.94","10.40.33.140","TCP","164","58649  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=510 Len=110 [TCP segment of a reassembled PDU]"
"10","0.073944","10.40.33.140","10.40.49.94","TCP","164","8009  >  58649 [PSH, ACK] Seq=1 Ack=111 Win=279 Len=110 [TCP segment of a reassembled PDU]"
"11","0.091285","10.40.49.94","10.40.23.213","TCP","54","55181  >  8009 [ACK] Seq=111 Ack=111 Win=509 Len=0"
"12","0.097887","10.40.49.94","208.67.222.222","DNS","79","Standard query 0x370f A clients4.google.com"
"13","0.109385","208.67.222.222","10.40.49.94","DNS","199","Standard query response 0x370f A clients4.google.com CNAME clients.l.google.com A 108.177.122.102 A 108.177.122.113 A 108.177.122.138 A 108.177.122.139 A 108.177.122.100 A 108.177.122.101"
"14","0.113424","10.40.49.94","108.177.122.102","UDP","1392","55412  >  443 Len=1350"
"15","0.115121","10.40.49.94","10.40.33.140","TCP","54","58649  >  8009 [ACK] Seq=111 Ack=111 Win=509 Len=0"
"16","0.131536","10.40.49.94","108.177.122.102","UDP","1392","55412  >  443 Len=1350"
"17","0.140182","108.177.122.102","10.40.49.94","UDP","1392","443  >  55412 Len=1350"
"18","0.141466","10.40.49.94","108.177.122.102","UDP","70","55412  >  443 Len=28"
"19","0.141589","10.40.49.94","108.177.122.102","UDP","314","55412  >  443 Len=272"
"20","0.144182","108.177.122.102","10.40.49.94","UDP","1392","443  >  55412 Len=1350"
"21","0.156028","108.177.122.102","10.40.49.94","UDP","65","443  >  55412 Len=23"
"22","0.158444","108.177.122.102","10.40.49.94","UDP","450","443  >  55412 Len=408"
"23","0.158593","108.177.122.102","10.40.49.94","UDP","80","443  >  55412 Len=38"
"24","0.159048","108.177.122.102","10.40.49.94","UDP","70","443  >  55412 Len=28"
